cpt_facturas_nro_trans,cpt_facturas_fec_doc,cpt_facturas_cod_emp
1222207,2025-04-21,1
1114736,2025-03-05,1
1099558,2025-02-28,1
1097737,2025-02-27,1
1097436,2025-02-27,1
1097433,2025-02-27,1
1097406,2025-02-27,1
1097397,2025-02-27,1
1097354,2025-02-27,1
1097234,2025-02-27,1
1097152,2025-02-27,1
1094657,2025-02-26,1
1094354,2025-02-26,1
1089858,2025-02-25,1
1033925,2025-02-05,1
1010834,2025-01-28,1
979475,2025-01-17,1
916659,2024-12-27,1
846985,2024-12-04,1
846982,2024-12-04,1
793583,2024-11-14,1
791399,2024-11-13,1
791334,2024-11-13,1
762116,2024-11-04,1
730182,2024-10-24,1
729928,2024-10-24,1
726173,2024-10-23,1
689704,2024-10-09,1
666342,2024-09-27,1
665051,2024-09-26,1
639147,2024-09-09,1
639143,2024-09-09,1
634386,2024-09-06,1
631868,2024-09-05,1
626563,2024-09-03,1
625516,2024-09-03,1
612484,2024-08-29,1
567182,2024-08-13,1
567026,2024-08-13,1
527330,2024-07-23,1
493494,2024-07-11,1
468241,2024-06-18,1
445115,2024-06-16,1
445105,2024-06-15,1
445097,2024-06-10,1
433452,2024-06-20,1
394343,2024-06-06,1
376307,2023-08-15,1
374713,2024-05-02,1
374653,2024-05-02,1
374073,2024-04-26,1
369632,2024-03-25,1
367443,2024-03-13,1
366645,2024-03-06,1
366639,2024-03-06,1
361119,2024-02-06,1
360124,2024-02-01,1
358813,2022-11-28,1
358798,2022-11-25,1
357098,2024-01-12,1
357093,2024-01-10,1
357090,2024-01-04,1
357086,2023-12-30,1
357085,2023-12-20,1
357083,2023-12-19,1
357079,2023-12-17,1
357074,2023-12-16,1
356269,2024-01-12,1
356265,2024-01-12,1
355954,2023-12-12,1
355947,2023-11-15,1
354344,2023-12-22,1
354313,2023-12-22,1
352839,2023-12-08,1
352545,2023-03-20,1
352544,2023-03-16,1
352543,2023-03-15,1
352542,2023-02-15,1
352454,2023-07-14,1
352453,2023-04-01,1
352450,2023-01-30,1
352449,2023-01-27,1
352448,2023-05-02,1
352447,2023-01-20,1
352444,2023-03-23,1
352443,2023-01-15,1
352438,2023-01-11,1
352431,2023-01-10,1
351334,2022-10-25,1
351330,2022-10-20,1
349318,2023-11-20,1
348394,2023-11-08,1
344200,2023-09-05,1
344185,2023-09-05,1
344085,2023-09-01,1
343341,2023-08-18,1
341625,2023-07-31,1
340544,2023-07-21,1
340542,2023-07-21,1
340539,2023-07-21,1
